zip,lat,lon,city,state_id,county_name,urls
30650,33.58404,-83.47196,Madison,GA,Morgan,http://www.rockethomes.com/real-estate-trends/GA/Madison
30655,33.77841,-83.69796,Monroe,GA,Walton,http://www.rockethomes.com/real-estate-trends/GA/Monroe
30663,33.61588,-83.5987,Rutledge,GA,Morgan,http://www.rockethomes.com/real-estate-trends/GA/Rutledge
30680,33.99623,-83.69949,Winder,GA,Barrow,http://www.rockethomes.com/real-estate-trends/GA/Winder
31064,33.28906,-83.69711,Monticello,GA,Jasper,http://www.rockethomes.com/real-estate-trends/GA/Monticello
31085,33.42569,-83.62901,Shady-Dale,GA,Jasper,http://www.rockethomes.com/real-estate-trends/GA/Shady-Dale
31830,32.89651,-84.73184,Warm-Springs,GA,Meriwether,http://www.rockethomes.com/real-estate-trends/GA/Warm-Springs
36263,33.46623,-85.35928,Graham,AL,Randolph,http://www.rockethomes.com/real-estate-trends/AL/Graham
36269,33.74339,-85.38289,Muscadine,AL,Cleburne,http://www.rockethomes.com/real-estate-trends/AL/Muscadine
36273,33.5403,-85.37853,Ranburne,AL,Cleburne,http://www.rockethomes.com/real-estate-trends/AL/Ranburne
